"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NR_045804"	0	1	0.265948477307997	0.265432326648561	320.844123642087	1208.78821871473
"NR_040469"	0	1	0.264746389519393	0.264567167124498	545.011893481327	2060.04113712714
"NR_027892"	0	1	0.321284496211342	0.32042683763449	215.519128297469	672.621324793468
"NM_001201323"	0	1	0.225581865769346	0.225292600182596	306.717843605927	1361.45435061484
"NR_045341"	0	1	0.283051771766254	0.282340239465064	142.846190856761	505.961770539769
"NR_073462"	0	1	0.22240948776211	0.222205446398684	425.216720769018	1913.65470831714
"NR_102287"	0	1	0.257747558944679	0.257306622240482	368.144489257615	1430.79067684202
"NM_001166360"	0	1	0.252467072567482	0.252217757267441	379.733341286799	1505.60699303406
"NR_102715"	0	1	4.03264771001278	4.03745234530438	1279.67198779675	316.942840145603
"NR_029446"	0	1	0.254758107508345	0.25430803967103	211.44233402783	831.471121483072
"NM_134022"	0	1	4.11106134494601	4.11604171766231	1291.08919100249	313.664952676564
"NM_177312"	0	1	3.62219463587487	3.62400348024688	2638.05468031954	727.932093515822
"NR_110367"	0	1	0.257922485643136	0.257450307486998	343.896630605678	1335.80751741759
"NM_027834"	0	1	0.250550988912557	0.250330670496437	427.590756016159	1708.13369317261
"NR_033635"	0	1	0.252476124942731	0.252368646749452	881.390355712498	3492.50132050305
"NR_024325"	0	1	0.228356807734237	0.228223481947395	671.713017471333	2943.25864063079
"NR_024326"	0	1	0.256529321113236	0.255922309787835	266.417440172887	1041.03812274382
"NR_033569"	0	1	0.238577178103212	0.238349246008138	399.812565324821	1677.45519874105
"NR_131079"	0	1	0.192529549998497	0.191874637120028	118.783804264455	619.111974886879
"NR_040552"	0	1	0.270369817013789	0.270257923963849	884.924705222999	3274.39798864929
"NM_001004155"	0	1	0.25618109629384	0.255795133729346	418.993895156826	1638.03482535688
"NM_177573"	0	1	0.269149280533846	0.268983425673371	595.184771517769	2212.74630655593
"NM_001081074"	0	1	0.232706272216809	0.232580404687307	711.947670777975	3061.11491177048
"NR_027298"	0	1	4.43062529630848	4.43615268518087	1382.57825374587	311.653811384233
"NR_027446"	0	1	0.24401705983969	0.243613126243936	387.52100854017	1590.75407135848
"NR_015600"	0	1	0.270345884185593	0.270204057444479	698.035755392561	2583.39219608285
"NM_001033378"	0	1	4.22206753141332	4.22492800667136	2389.72017548151	565.616247762806
"NR_029458"	0	1	0.260558877255584	0.260295046609663	366.32412311461	1407.37030894596
"NR_126072"	0	1	0.274463449745804	0.274143074670319	527.68333335288	1924.87296115989
"NM_001033472"	0	1	0.251142506985581	0.250998934030261	657.392768044946	2619.13565727075
"NR_040549"	0	1	4.1752214699651	4.18363612031072	1341.81415612622	320.721564012447
"NR_027896"	0	1	0.250696666150358	0.249897245430294	199.0791018725	796.673859118542
"NR_102683"	0	1	4.42017732130205	4.44416713085896	318.149808995118	71.5804239482606
