PPEE	PPDE
NM_015749	0.0002167658357074	0.999783234164293
NM_015750	0	1
NM_015769	0	1
NM_015775	0	1
NM_015782	0	1
NM_015785	0	1
NM_015816	0	1
NM_016670	0	1
NM_016676	0	1
NM_016708	0	1
NM_016712	0	1
NM_016719	0	1
NM_016770	0	1
NM_016788	0	1
NM_016791	2.59546115464193e-05	0.999974045388454
NM_016792	0	1
NM_016803	0	1
NM_016870	0	1
NM_016877	0	1
NM_016878	0	1
NM_016885	0	1
NM_016901	0	1
NM_016905	0	1
NM_016907	0	1
NM_016928	0	1
NM_017383	0	1
NM_017390	0	1
NM_017404	0	1
NM_018739	0	1
NM_018745	0	1
NM_018749	0	1
NM_018765	0	1
NM_018860	0	1
NM_018879	0	1
NM_019396	0	1
NM_019461	0	1
NM_019485	0	1
NM_019507	0	1
NM_019542	0	1
NM_019549	0	1
NM_019563	0	1
NM_019566	0	1
NM_019585	0	1
NM_019671	0	1
NM_019674	0	1
NM_019693	0	1
NM_019740	0	1
NM_019762	0	1
NM_019783	0	1
NM_019790	0	1
NM_019807	0	1
NM_019810	0	1
NM_019835	0	1
NM_019932	0	1
NM_019950	0	1
NM_019964	0	1
NM_019976	0	1
NM_019989	0	1
NM_020012	0	1
NM_020013	0	1
NM_020020	0	1
NM_020026	0	1
NM_020044	0	1
NM_020259	0	1
NM_020282	0	1
NM_020486	0	1
NM_020501	0	1
NM_020508	0	1
NM_020519	0	1
NM_020564	0	1
NM_020582	0	1
NM_020599	0	1
NM_020615	0	1
NM_021280	0	1
NM_021295	0	1
NM_021302	0	1
NM_021347	0	1
NM_021381	0	1
NM_021422	0	1
NM_021429	0	1
NM_021445	0	1
NM_021503	0	1
NM_021513	0	1
NM_021538	0	1
NM_021544	0	1
NM_021547	0	1
NM_021551	0	1
NM_021565	0	1
NM_021605	0	1
NM_021608	0	1
NM_021716	0	1
NM_021892	9.9920072216264e-15	0.99999999999999
NM_022000	0	1
NM_022318	0	1
NM_022724	0	1
NM_022889	0	1
NM_023054	0	1
NM_023125	0	1
NM_023279	0	1
NM_023336	0	1
NM_023341	0	1
NM_023380	0	1
NM_023429	0	1
NM_023449	0	1
NM_023455	0	1
NM_023579	0	1
NM_023585	0	1
NM_023631	0	1
NM_023638	0	1
NM_023709	0	1
NM_023721	0	1
NM_023871	0	1
NM_023884	0	1
NM_024176	2.3050923392276e-08	0.999999976949077
NM_024193	0	1
NM_024200	0	1
NM_024206	0	1
NM_024207	0	1
NM_024239	0	1
NM_024406	0	1
NM_024435	0	1
NM_024436	0	1
NM_024437	0	1
NM_025274	0	1
NM_025315	0	1
NM_025323	0	1
NM_025326	0	1
NM_025348	0	1
NM_025363	0	1
NM_025388	0	1
NM_025415	0	1
NM_025417	0	1
NM_025464	0	1
NM_025509	0	1
NM_025542	0	1
NM_025572	0	1
NM_025605	0	1
NM_025624	0	1
NM_025636	0	1
NM_025638	0	1
NM_025686	0	1
NM_025706	0	1
NM_025716	0	1
NM_025720	0	1
NM_025730	0	1
NM_025737	0	1
NM_025747	0	1
NM_025773	0	1
NM_025785	0	1
NM_025791	0	1
NM_025824	0	1
NM_025844	0	1
NM_025855	0	1
NM_025863	0	1
NM_025865	0	1
NM_025869	0	1
NM_025901	0	1
NM_025919	0	1
NM_025929	0	1
NM_025933	0	1
NM_026078	0	1
NM_026091	0	1
NM_026097	0	1
